Tipo de vehiculo|coste|tiempo de llegada
coches|7.51|30|
coches|7.51|60|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|455|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|455|
coches|7.51|530|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|455|
coches|7.51|530|
coches|7.51|560|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|455|
coches|7.51|530|
coches|7.51|560|
coches|7.51|595|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|455|
coches|7.51|530|
coches|7.51|560|
coches|7.51|595|
coches|7.51|660|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|455|
coches|7.51|530|
coches|7.51|560|
coches|7.51|595|
coches|7.51|660|
coches|7.51|685|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|455|
coches|7.51|530|
coches|7.51|560|
coches|7.51|595|
coches|7.51|660|
coches|7.51|685|
coches|7.51|725|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|455|
coches|7.51|530|
coches|7.51|560|
coches|7.51|595|
coches|7.51|660|
coches|7.51|685|
coches|7.51|725|
coches|7.51|820|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|455|
coches|7.51|530|
coches|7.51|560|
coches|7.51|595|
coches|7.51|660|
coches|7.51|685|
coches|7.51|725|
coches|7.51|820|
coches|7.51|845|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|455|
coches|7.51|530|
coches|7.51|560|
coches|7.51|595|
coches|7.51|660|
coches|7.51|685|
coches|7.51|725|
coches|7.51|820|
coches|7.51|845|
coches|7.51|885|
coches|7.51|30|
coches|7.51|60|
coches|7.51|85|
coches|7.51|225|
coches|7.51|250|
coches|7.51|275|
motos|6.61|300|
coches|7.51|380|
coches|7.51|455|
coches|7.51|530|
coches|7.51|560|
coches|7.51|595|
coches|7.51|660|
coches|7.51|685|
coches|7.51|725|
coches|7.51|820|
coches|7.51|845|
coches|7.51|885|
coches|7.51|940|
