Tipo de vehiculo|coste|tiempo de llegada
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|565|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|565|
camiones|9.32|570|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|565|
camiones|9.32|570|
camiones|9.32|700|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|565|
camiones|9.32|570|
camiones|9.32|700|
camiones|9.32|735|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|565|
camiones|9.32|570|
camiones|9.32|700|
camiones|9.32|735|
camiones|9.32|750|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|565|
camiones|9.32|570|
camiones|9.32|700|
camiones|9.32|735|
camiones|9.32|750|
camiones|9.32|775|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|565|
camiones|9.32|570|
camiones|9.32|700|
camiones|9.32|735|
camiones|9.32|750|
camiones|9.32|775|
camiones|9.32|860|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|565|
camiones|9.32|570|
camiones|9.32|700|
camiones|9.32|735|
camiones|9.32|750|
camiones|9.32|775|
camiones|9.32|860|
camiones|9.32|900|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|565|
camiones|9.32|570|
camiones|9.32|700|
camiones|9.32|735|
camiones|9.32|750|
camiones|9.32|775|
camiones|9.32|860|
camiones|9.32|900|
camiones|9.32|915|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|565|
camiones|9.32|570|
camiones|9.32|700|
camiones|9.32|735|
camiones|9.32|750|
camiones|9.32|775|
camiones|9.32|860|
camiones|9.32|900|
camiones|9.32|915|
camiones|9.32|950|
camiones|9.32|5|
camiones|9.32|105|
camiones|9.32|120|
camiones|9.32|135|
camiones|9.32|160|
camiones|9.32|180|
camiones|9.32|200|
camiones|9.32|335|
camiones|9.32|345|
camiones|9.32|355|
camiones|9.32|395|
camiones|9.32|410|
camiones|9.32|420|
camiones|9.32|475|
camiones|9.32|500|
camiones|9.32|535|
camiones|9.32|565|
camiones|9.32|570|
camiones|9.32|700|
camiones|9.32|735|
camiones|9.32|750|
camiones|9.32|775|
camiones|9.32|860|
