Tipo de vehiculo|coste|tiempo de llegada
coches|7.51|20|
coches|7.51|50|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
