Tipo de vehiculo|coste|tiempo de llegada
coches|7.51|25|
coches|7.51|55|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|590|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|590|
coches|7.51|620|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|590|
coches|7.51|620|
coches|7.51|645|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|590|
coches|7.51|620|
coches|7.51|645|
coches|7.51|670|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|590|
coches|7.51|620|
coches|7.51|645|
coches|7.51|670|
coches|7.51|720|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|590|
coches|7.51|620|
coches|7.51|645|
coches|7.51|670|
coches|7.51|720|
coches|7.51|760|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|590|
coches|7.51|620|
coches|7.51|645|
coches|7.51|670|
coches|7.51|720|
coches|7.51|760|
motos|6.61|785|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|590|
coches|7.51|620|
coches|7.51|645|
coches|7.51|670|
coches|7.51|720|
coches|7.51|760|
motos|6.61|785|
coches|7.51|810|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|590|
coches|7.51|620|
coches|7.51|645|
coches|7.51|670|
coches|7.51|720|
coches|7.51|760|
motos|6.61|785|
coches|7.51|810|
coches|7.51|835|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|590|
coches|7.51|620|
coches|7.51|645|
coches|7.51|670|
coches|7.51|720|
coches|7.51|760|
motos|6.61|785|
coches|7.51|810|
coches|7.51|835|
motos|6.61|875|
coches|7.51|25|
coches|7.51|55|
motos|6.61|80|
coches|7.51|110|
motos|6.61|145|
coches|7.51|170|
coches|7.51|210|
coches|7.51|235|
coches|7.51|260|
coches|7.51|285|
coches|7.51|310|
coches|7.51|370|
coches|7.51|405|
coches|7.51|445|
motos|6.61|495|
coches|7.51|525|
coches|7.51|555|
coches|7.51|590|
coches|7.51|620|
coches|7.51|645|
coches|7.51|670|
coches|7.51|720|
coches|7.51|760|
motos|6.61|785|
coches|7.51|810|
coches|7.51|835|
motos|6.61|875|
coches|7.51|925|
