Tipo de vehiculo|coste|tiempo de llegada
coches|7.51|10|
coches|7.51|40|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
